method,scenario,n,CumulativeUtility_mean,AverageSlateUtility_mean,ClickRate_mean,LeaveRate_mean,AverageSessionLength_mean,SlateDiversity_mean,CategoryCoverage_mean,InstructionUplift@1_mean,InstructionUplift@H_mean,OverCorrectionRegret@1_mean,OverCorrectionRegret@H_mean,DuringHorizonUtility_mean,PostExpiryRecoveryUtility_mean,PostExpirySuppressionRegret_mean,ExpiredConstraintViolationRate_mean,DriftRecoveryTurns_mean,RollbackAccuracy_mean,MemoryContaminationRate_mean,PromotionPrecision_mean,PromotionRecall_mean,ScopeClassificationAccuracy_mean,parser_scope_error_mean,memory_update_error_mean,policy_application_error_mean,candidate_coverage_error_mean
flat,mixed_multi_turn,3,13.670666666666666,1.1392222222222221,0.8888888888888888,0.0,12.0,0.8333333333333334,11.0,0.0,-1.0826666666666664,0.0,0.0,2.6743333333333332,1.6079999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,session_context,3,16.136,1.3446666666666667,0.9166666666666666,0.0,12.0,0.9833333333333334,11.0,0.0,-0.16999999999999993,0.0,0.0,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
flat,stable_dislike,3,16.328666666666667,1.3607222222222222,0.9722222222222222,0.0,12.0,0.9333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
flat,temporary_fatigue,3,13.638666666666667,1.1365555555555555,0.9722222222222222,0.0,12.0,0.8666666666666667,11.0,0.0,-0.19133333333333388,0.0,0.0,2.9886666666666666,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
none,behavioral_rollback,3,12.865999999999998,1.0721666666666665,0.9166666666666666,0.0,12.0,0.9,11.0,0.0,0.0,0.0,0.0,4.544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
none,diversity_request,3,13.908666666666667,1.1590555555555555,0.9722222222222222,0.0,12.0,0.8500000000000001,11.0,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
none,genuine_drift,3,14.363333333333332,1.1969444444444444,0.9166666666666666,0.0,12.0,0.8166666666666667,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
none,mixed_multi_turn,3,14.938666666666666,1.2448888888888887,0.9722222222222222,0.0,12.0,0.8333333333333334,11.0,0.0,0.0,0.0,0.0,2.9899999999999998,1.7746666666666664,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
none,session_context,3,16.52,1.3766666666666667,1.0,0.0,12.0,0.9833333333333334,11.0,0.0,0.0,0.0,0.0,4.63,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
none,stable_dislike,3,16.328666666666667,1.3607222222222222,0.9722222222222222,0.0,12.0,0.9333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
none,temporary_fatigue,3,13.908666666666667,1.1590555555555555,0.9722222222222222,0.0,12.0,0.8500000000000001,11.0,0.0,0.0,0.0,0.0,3.1799999999999997,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,behavioral_rollback,3,10.18,0.9254545454545454,0.36363636363636365,0.09090909090909091,11.0,0.8363636363636364,11.0,0.0,-0.5860000000000003,0.12933333333333316,-0.23733333333333415,3.9579999999999993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,diversity_request,3,13.908666666666667,1.1590555555555555,0.9722222222222222,0.0,12.0,0.8500000000000001,11.0,0.0,0.0,0.0,0.0,1.5,4.119999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,genuine_drift,3,14.363333333333332,1.1969444444444444,0.9166666666666666,0.0,12.0,0.8166666666666667,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
structured,mixed_multi_turn,3,14.53,1.2108333333333332,0.9166666666666666,0.0,12.0,0.8666666666666667,11.0,0.0,-0.7999999999999989,0.0,-0.580666666666667,2.708,1.525,-0.14400000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
structured,session_context,3,16.35,1.3625,1.0,0.0,12.0,0.9666666666666667,11.0,0.0,-0.16999999999999993,0.0,0.009999999999999787,4.46,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
structured,stable_dislike,3,16.328666666666667,1.3607222222222222,0.9722222222222222,0.0,12.0,0.9333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
structured,temporary_fatigue,3,13.272,1.1059999999999999,0.8333333333333334,0.0,12.0,0.9166666666666667,11.0,0.0,-0.1800000000000006,0.0,0.01133333333333327,3.0,1.7799999999999998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,behavioral_rollback,3,14.739999999999998,1.2283333333333333,1.0,0.0,12.0,0.8666666666666667,11.0,-0.12933333333333316,0.8913333333333332,0.0,0.0,5.4353333333333325,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,diversity_request,3,16.8,1.4,0.9722222222222222,0.0,12.0,0.8666666666666667,11.0,-0.5700000000000001,0.9966666666666674,-0.5700000000000001,0.9966666666666674,0.9299999999999999,5.6866666666666665,1.5666666666666675,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,genuine_drift,3,14.179333333333332,1.181611111111111,0.9444444444444444,0.0,12.0,0.8333333333333334,11.0,0.0,0.00733333333333371,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
time_decay,mixed_multi_turn,3,14.938666666666666,1.244888888888889,0.9722222222222222,0.0,12.0,0.85,11.0,0.0,0.1186666666666684,0.0,0.0,3.034333333333333,2.1899999999999995,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
time_decay,session_context,3,16.35,1.3625,1.0,0.0,12.0,0.9666666666666667,11.0,0.0,-0.18333333333333326,0.0,0.0,4.446666666666666,0.9299999999999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
time_decay,stable_dislike,3,16.328666666666667,1.3607222222222222,0.9722222222222222,0.0,12.0,0.9333333333333333,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
time_decay,temporary_fatigue,3,14.468666666666666,1.2057222222222221,0.9722222222222222,0.0,12.0,0.8333333333333334,11.0,0.0,0.16866666666666644,0.0,0.0,2.9886666666666666,2.1399999999999997,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
